Genus,records,per
Aegithalos,492,1.73
Alauda,888,3.12
Anthus,556,1.96
Carduelis,1371,4.82
Certhia,513,1.8
Cinclus,11,0.04
Coccothraustes,20,0.07
Corvus,10,0.04
Cyanistes,2869,10.09
Emberiza,3552,12.49
Erithacus,967,3.4
Fringilla,2443,8.59
Galerida,203,0.71
Garrulus,915,3.22
Hippolais,154,0.54
Lanius,140,0.49
Lophophanes,129,0.45
Loxia,35,0.12
Lullula,352,1.24
Luscinia,3,0.01
Miliaria,20,0.07
Monticola,43,0.15
Motacilla,19,0.07
Muscicapa,18,0.06
Oenanthe,1258,4.42
Oriolus,9,0.03
Parus,1773,6.23
Passer,6,0.02
Periparus,830,2.92
Petronia,16,0.06
Phoenicurus,1235,4.34
Phylloscopus,609,2.14
Pica,413,1.45
Prunella,182,0.64
Pyrrhocorax,114,0.4
Regulus,128,0.45
Saxicola,1260,4.43
Serinus,282,0.99
Sitta,489,1.72
Spinus,8,0.03
Sturnus,9,0.03
Sylvia,966,3.4
Troglodytes,540,1.9
Turdus,2587,9.1
