nombre_cientifico,id_dicc_especies,Spanish.Red.List,IUCN.Global,Birds.Directive,Bern,Bonn,Spanish.Name,English.Name,Authority
Acanthis cannabina,454,,NA,,,,,,
Accipiter gentilis,700,NE,NA,,III,II,Azor común,Northern Goshawk,Linnaeus, 1758
Accipiter nisus,699,NE,NA,,III,,Gavilán común,Eurasian Sparrowhawk,Linnaeus, 1758
Aegithalos caudatus,380,NE,NA,,III,,Mito común,Long-tailed Tit,Linnaeus, 1758
Alauda arvensis,234,NE,NA,,III,,Alondra común,Eurasian Skylark,Linnaeus, 1758
Alectoris rufa,747,DD,NA,,III,,Perdiz roja,Red-legged Partridge,Linnaeus, 1758
Anthus campestris,264,NE,NA,,III,,Bisbita campestre,Tawny Pipit,Linnaeus, 1758
Anthus spinoletta,261,NE,NA,,,,Bisbita alpino,Water Pipit,Linnaeus, 1758
Athene noctua,823,NE,NA,II,III,,Alondra común,Little Owl,Scopoli, 1769
Caprimulgus europaeus,831,NE,NA,I,III,,Chotacabras europeo,European Nightjar,Linnaeus, 1758
Carduelis cannabina,447,NE,NA,II,,,Pardillo común,Common Linnet,Linnaeus, 1758
Carduelis carduelis,446,NE,NA,I,III,II,Jilguero europeo,European Goldfinch,Linnaeus, 1758
Carduelis chloris,445,NE,NA,,III,,Verderón común,European Greenfinch,Linnaeus, 1758
Carduelis spinus,448,NE,NA,I,III,,Lúgano,Eurasian Siskin,Linnaeus, 1758
Certhia brachydactyla,392,NE,NA,,III,,Agateador común,Short-toed Treecreeper,Brehm, CL, 1820
Cinclus cinclus,279,NE,NA,,III,,Mirlo acuático europeo,White-throated Dipper,Linnaeus, 1758
Clamator glandarius,808,NE,NA,,III,II,Críalo europeo,Great Spotted Cuckoo,Linnaeus, 1758
Coccothraustes coccothraustes,440,NE,NA,,III,,Picogordo común,Hawfinch,Linnaeus, 1758
Columba palumbus,796,NE,NA,I,III,,Paloma torcaz,Common Wood Pigeon,Linnaeus, 1758
Corvus corax,419,NE,NA,I ,III,,Cuervo común,Northern Raven,Linnaeus, 1758
Corvus monedula,420,NE,NA,,III,,Grajilla occidental,Eurasian Jackdaw,Linnaeus, 1758
Cuculus canorus,806,NE,NA,,III,,Cuco común,Common Cuckoo,Linnaeus, 1758
Cyanistes caeruleus,375,NE,NA,,III,II,Herrerillo común,Eurasian Blue Tit,Linnaeus, 1758
Dendrocopos major,858,,NA,,III,II,Pico picapinos,Great Spotted Woodpecker,Linnaeus, 1758
Emberiza cia,466,NE,NA,,III,II,Escribano montesino,Rock Bunting,Linnaeus, 1766
Emberiza cirlus,464,NE,NA,,III,II,Escribano soteño,Cirl Bunting,Linnaeus, 1766
Emberiza hortulana,465,NE,NA,,III,,Escribano hortelano,Ortolan Bunting,Linnaeus, 1758
Erithacus rubecula,296,NE,NA,,III,,Petirrojo europeo,European Robin,Linnaeus, 1758
Falco tinnunculus,731,NE,NA,,III,,Cernícalo vulgar,Common Kestrel,Linnaeus, 1758
Fringilla coelebs,436,NE,NA,,III,II,Pinzón vulgar,Common Chaffinch,Linnaeus, 1758
Fringilla montifringilla,437,NE,NA,,III,II,Pinzón real,Brambling,Linnaeus, 1758
Galerida cristata,238,NE,NA,,III,II,Cogujada común,Crested Lark,Linnaeus, 1758
Galerida theklae,239,NE,NA,I,III,II,Cogujada montesina,Thekla Lark,Brehm, AE, 1857
Garrulus glandarius,433,NE,NA,,III,II,Garrulus glandarius,Eurasian Jay,Linnaeus, 1758
Hippolais polyglotta,347,NE,NA,,III,II,Zarcero común ,Melodious Warbler,Vieillot, 1817
Lanius excubitor,406,,NA,I,III,,Alcaudón real,Great Grey Shrike,Linnaeus, 1758
