Scientific name;Spanish Red List;Birds Directive;Bern;Bonn
Aegithalos caudatus Scopoli, 1769;NE;;III;
Alauda arvensis Linnaeus, 1758;NE;;III;
Anthus campestris Linnaeus, 1758;NE;;III;
Anthus spinoletta Linnaeus, 1758;NE;;;
Carduelis cannabina Linnaeus, 1758;NE;II;;
Carduelis carduelis Linnaeus, 1758;NE;I;III;II
Carduelis chloris Linnaeus, 1758;NE;;III;
Carduelis spinus Linnaeus, 1758;NE;I;III;
Certhia brachydactyla Linnaeus, 1758;NE;;III;
Cinclus cinclus Linnaeus, 1758;NE;;III;
Coccothraustes coccothraustes Linnaeus, 1758;NE;;III;
Corvus corax Linnaeus, 1758;NE;I ;III;
Corvus monedula Linnaeus, 1758;NE;;III;
Cyanistes caeruleus Linnaeus, 1758;NE;;III;II
Emberiza cia Linnaeus, 1758;NE;;III;II
Emberiza cirlus Linnaeus, 1758;NE;;III;II
Emberiza hortulana Linnaeus, 1758;NE;;III;
Erithacus rubecula Linnaeus, 1758;NE;;III;
Fringilla coelebs Gmelin, JF, 1789;NE;;III;II
Fringilla montifringilla Linnaeus, 1758;NE;;III;II
Galerida cristata Pallas, 1764;NE;;III;II
Galerida theklae Boddaert, 1783;NE;I;III;II
Garrulus glandarius Temminck, 1820;NE;;III;II
Hippolais polyglotta Latham, 1787;NE;;III;II
Lanius excubitor Linnaeus, 1758;;I;III;
Lanius senator Linnaeus, 1766;NT;;III;
Lophophanes cristatus Linnaeus, 1766;;;III;
Loxia curvirostra Linnaeus, 1758;NE;;III;
Lullula arborea Temminck, 1820;NE;;III;
Luscinia megarhynchos Linnaeus, 1758;NE;I;III;II
Miliaria calandra Linnaeus, 1758;NE;;;
Monticola saxatilis Linnaeus, 1758;NE;II;;
Motacilla alba Linnaeus, 1758;NE;;;
Motacilla cinerea Linnaeus, 1758;NE;;;
Muscicapa striata Linnaeus, 1758;NE;;III;
Oenanthe hispanica Linnaeus, 1758;NT;;III;
Oenanthe oenanthe Linnaeus, 1758;NE;;III;
Oriolus oriolus Tunstall, 1771;NE;;III;
Parus major Linnaeus, 1758;NE;;III;
Passer domesticus Linnaeus, 1758;NE;;III;II
Periparus ater Linnaeus, 1758;NE;;III;II
Petronia petronia Linnaeus, 1758;NE;;III;
Phoenicurus ochruros Scopoli, 1769;NE;;III;
Phoenicurus phoenicurus Vieillot, 1817;VU;;III;II
Phylloscopus bonelli Vieillot, 1819;NE;;III;II
Phylloscopus collybita Linnaeus, 1758;NE;;III;
Pica pica Linnaeus, 1758;NE;I,II,III;;
Prunella collaris Linnaeus, 1758;NE;;III;
Prunella modularis Linnaeus, 1758;NE;II,III;III;
Pyrrhocorax pyrrhocorax Linnaeus, 1758;NT;;III;II
Regulus ignicapillus Linnaeus, 1758;NE;I;III;
Saxicola rubetra Linnaeus, 1758;NE;;III;
Saxicola torquata Linnaeus, 1758;NE;;III;
Serinus citrinella Linnaeus, 1758;NE;I;III;
Serinus serinus Linnaeus, 1758;NE;;III;
Sitta europaea Linnaeus, 1758;NE;;III;
Sturnus unicolor Linnaeus, 1766;NE;;III;II
Sylvia atricapilla Brehm, CL, 1831;NE;;III;II
Sylvia cantillans Linnaeus, 1766;NE;;III;
Sylvia communis Linnaeus, 1766;NE;;III;II
Sylvia conspicillata Linnaeus, 1758;LC*;;III;II
Sylvia melanocephala Linnaeus, 1758;NE;II;III;
Sylvia undata Linnaeus, 1758;NE;;III;
Troglodytes troglodytes Linnaeus, 1758;NE;II;;
Turdus iliacus Linnaeus, 1758;NE;;III;
Turdus merula Pallas, 1764;NE;;III;
Turdus philomelos Vieillot, 1817;NE;;III;II
Turdus pilaris Linnaeus, 1758;NE;II;III;II
Turdus torquatus Linnaeus, 1758;NE;II;III;II
Turdus viscivorus Brehm, CL, 1831;NE;II;III;II
