id_dicc_especies,nombre_cientifico,kingdom,phylum,subphylum,class,order,family,genus
264,Anthus campestris,Metazoa,Chordata,Craniata,Aves,Passeriformes,Motacillidae,Anthus
440,Coccothraustes coccothraustes,Metazoa,Chordata,Craniata,Aves,Passeriformes,Fringillidae,Coccothraustes
459,Sturnus unicolor,Metazoa,Chordata,Craniata,Aves,Passeriformes,Sturnidae,Sturnus
700,Accipiter gentilis,Metazoa,Chordata,Craniata,Aves,Falconiformes,Accipitridae,Accipiter
371,Parus major,Metazoa,Chordata,Craniata,Aves,Passeriformes,Paridae,Parus
851,Upupa epops,Metazoa,Chordata,Craniata,Aves,Upupiformes,Upupidae,Upupa
416,Petronia petronia,Metazoa,Chordata,Craniata,Aves,Passeriformes,Passeridae,Petronia
293,Turdus merula,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
234,Alauda arvensis,Metazoa,Chordata,Craniata,Aves,Passeriformes,Alaudidae,Alauda
431,Pica pica,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Pica
858,Dendrocopos major,Metazoa,Chordata,Craniata,Aves,Piciformes,Picidae,Dendrocopos
731,Falco tinnunculus,Metazoa,Chordata,Craniata,Aves,Falconiformes,Falconidae,Falco
466,Emberiza cia,Metazoa,Chordata,Craniata,Aves,Passeriformes,Fringillidae,Emberiza
823,Athene noctua,Metazoa,Chordata,Craniata,Aves,Strigiformes,Strigidae,Athene
291,Turdus iliacus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
406,Lanius excubitor,Metazoa,Chordata,Craniata,Aves,Passeriformes,Laniidae,Lanius
436,Fringilla coelebs,Metazoa,Chordata,Craniata,Aves,Passeriformes,Fringillidae,Fringilla
309,Oenanthe oenanthe,Metazoa,Chordata,Craniata,Aves,Passeriformes,Muscicapidae,Oenanthe
452,Loxia curvirostra,Metazoa,Chordata,Craniata,Aves,Passeriformes,Fringillidae,Loxia
419,Corvus corax,Metazoa,Chordata,Craniata,Aves,Passeriformes,Corvidae,Corvus
289,Turdus viscivorus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Turdidae,Turdus
349,Phylloscopus,Metazoa,Chordata,Craniata,Aves,Passeriformes,Phylloscopidae,Phylloscopus
282,Troglodytes troglodytes,Metazoa,Chordata,Craniata,Aves,Passeriformes,Certhiidae,Troglodytes
796,Columba palumbus,Metazoa,Chordata,Craniata,Aves,Columbiformes,Columbidae,Columba
268,Motacilla alba,Metazoa,Chordata,Craniata,Aves,Passeriformes,Motacillidae,Motacilla
808,Clamator glandarius,Metazoa,Chordata,Craniata,Aves,Cuculiformes,Cuculidae,Clamator
447,Carduelis cannabina,Metazoa,Chordata,Craniata,Aves,Passeriformes,Fringillidae,Carduelis
261,Anthus spinoletta,Metazoa,Chordata,Craniata,Aves,Passeriformes,Motacillidae,Anthus
474,Miliaria calandra,Metazoa,Chordata,Craniata,Aves,Passeriformes,Fringillidae,Miliaria
446,Carduelis carduelis,Metazoa,Chordata,Craniata,Aves,Passeriformes,Fringillidae,Carduelis
747,Alectoris rufa,Metazoa,Chordata,Craniata,Aves,Galliformes,Phasianidae,Alectoris
323,Sylvia communis,Metazoa,Chordata,Craniata,Aves,Passeriformes,Sylviidae,Sylvia
307,Saxicola rubetra,Metazoa,Chordata,Craniata,Aves,Passeriformes,Muscicapidae,Saxicola
269,Motacilla cinerea,Metazoa,Chordata,Craniata,Aves,Passeriformes,Motacillidae,Motacilla
