id_dicc_especies;Authority;nombre_cientifico;kingdom;phylum;subphylum;class;order;family;genus
454;;Acanthis cannabina;NA;NA;NA;NA;NA;NA;NA
700;Linnaeus, 1758;Accipiter gentilis;Metazoa;Chordata;Craniata;Aves;Falconiformes;Accipitridae;Accipiter
699;Linnaeus, 1758;Accipiter nisus;Metazoa;Chordata;Craniata;Aves;Falconiformes;Accipitridae;Accipiter
380;Linnaeus, 1758;Aegithalos caudatus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Aegithalidae;Aegithalos
234;Linnaeus, 1758;Alauda arvensis;Metazoa;Chordata;Craniata;Aves;Passeriformes;Alaudidae;Alauda
747;Linnaeus, 1758;Alectoris rufa;Metazoa;Chordata;Craniata;Aves;Galliformes;Phasianidae;Alectoris
259;;Anthus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Motacillidae;Anthus
264;Linnaeus, 1758;Anthus campestris;Metazoa;Chordata;Craniata;Aves;Passeriformes;Motacillidae;Anthus
261;Linnaeus, 1758;Anthus spinoletta;Metazoa;Chordata;Craniata;Aves;Passeriformes;Motacillidae;Anthus
823;Scopoli, 1769;Athene noctua;Metazoa;Chordata;Craniata;Aves;Strigiformes;Strigidae;Athene
831;Linnaeus, 1758;Caprimulgus europaeus;Metazoa;Chordata;Craniata;Aves;Caprimulgiformes;Caprimulgidae;Caprimulgus
447;Linnaeus, 1758;Carduelis cannabina;Metazoa;Chordata;Craniata;Aves;Passeriformes;Fringillidae;Carduelis
446;Linnaeus, 1758;Carduelis carduelis;Metazoa;Chordata;Craniata;Aves;Passeriformes;Fringillidae;Carduelis
445;Linnaeus, 1758;Carduelis chloris;Metazoa;Chordata;Craniata;Aves;Passeriformes;Fringillidae;Carduelis
448;Linnaeus, 1758;Carduelis spinus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Fringillidae;Spinus
392;Brehm, CL, 1820;Certhia brachydactyla;Metazoa;Chordata;Craniata;Aves;Passeriformes;Certhiidae;Certhia
279;Linnaeus, 1758;Cinclus cinclus;Metazoa;Chordata;Craniata;Aves;Passeriformes;Cinclidae;Cinclus
808;Linnaeus, 1758;Clamator glandarius;Metazoa;Chordata;Craniata;Aves;Cuculiformes;Cuculidae;Clamator
