adis_visita_id;recordedby
1;Javier Martín Jaramillo
2;Javier Martín Jaramillo
3;Jose Miguel Barea Azcón
4;Jose Miguel Barea Azcón
5;Jose Miguel Barea Azcón
6;Javier Martín Jaramillo, Mentxu
7;Jose Miguel Barea Azcón
8;Pablo Galdo
9;Pablo Galdo
10;Pablo Galdo, Javier Martín Jaramillo
11;Javier Martín Jaramillo
12;Javier Martín Jaramillo
14;Javier Martín Jaramillo, Pablo Galdo
15;Pablo Galdo
16;Javier Martín Jaramillo
17;Javier Martín Jaramillo
18;Pablo Galdo, Javier Martín Jaramillo
19;Pablo Galdo
20;Jose Miguel Barea Azcón
21;Javier Martín Jaramillo, Jose Miguel Barea Azcón
22;Javier Martín Jaramillo, Isacio
23;Mentxu, Pablo Galdo
24;Javier Martín Jaramillo
25;Javier Martín Jaramillo
26;Javier Martín Jaramillo
27;Pablo Galdo
28;Javier Martín Jaramillo
29;Javier Martín Jaramillo
30;Pablo Galdo, Mentxu
31;Mentxu, Pablo Galdo
32;Mentxu
33;Javier Martín Jaramillo, Isacio
34;Mentxu, Isacio
35;Javier Martín Jaramillo
36;Javier Martín Jaramillo, Jose Miguel Barea Azcón
37;Javier Martín Jaramillo
38;Javier Martín Jaramillo
39;Javier Martín Jaramillo
40;Pablo Galdo
41;Pablo Galdo
42;Jose Miguel Barea Azcón
43;Javier Martín Jaramillo
44;Javier Martín Jaramillo
45;Javier Martín Jaramillo
46;Javier Martín Jaramillo
47;Javier Martín Jaramillo
48;Javier Martín Jaramillo
49;Javier Martín Jaramillo
50;Javier Martín Jaramillo
51;Javier Martín Jaramillo
52;Javier Martín Jaramillo
53;Mentxu, Francisco Contreras Parody
54;Pablo Galdo, Fanny Archila
55;Francisco Contreras Parody, Fanny Archila
56;Fanny Archila, Francisco Contreras Parody
57;Isacio, Pablo Galdo
58;Francisco Contreras Parody, Pablo Galdo
59;Pablo Galdo, Isacio
60;Francisco Contreras Parody, Fanny Archila
61;Fanny Archila, Francisco Contreras Parody
62;Mentxu, Francisco Contreras Parody
63;Isacio, Francisco Contreras Parody
64;Francisco Contreras Parody, Mentxu
65;Francisco Contreras Parody
66;Francisco Contreras Parody
67;Jose Miguel Barea Azcón
68;Jose Miguel Barea Azcón
69;Javier Martín Jaramillo
70;Javier Martín Jaramillo
71;Javier Martín Jaramillo
72;Javier Martín Jaramillo
73;Javier Martín Jaramillo
74;Javier Martín Jaramillo
75;Javier Martín Jaramillo
76;Javier Martín Jaramillo
77;Javier Martín Jaramillo
78;Jose Miguel Barea Azcón
79;Pablo Galdo, Fanny Archila
80;Isacio, Francisco Contreras Parody
81;Javier Martín Jaramillo
82;Javier Martín Jaramillo
83;Fanny Archila, Pablo Galdo
84;Francisco Contreras Parody
85;Fanny Archila, Mentxu
86;Mentxu, Pablo Galdo
87;Pablo Galdo
88;Pablo Galdo
89;Pablo Galdo
90;Francisco Contreras Parody, Mentxu
91;Javier Martín Jaramillo
92;Pablo Galdo, Isacio
93;Pablo Galdo, Fanny Archila
94;Fanny Archila
95;Francisco Contreras Parody
96;Francisco Contreras Parody, Isacio
97;Pablo Galdo, Isacio
98;Fanny Archila, Pablo Galdo
99;Javier Martín Jaramillo
100;Javier Martín Jaramillo
101;Javier Martín Jaramillo
102;Javier Martín Jaramillo
103;Javier Martín Jaramillo
104;Javier Martín Jaramillo
105;Fanny Archila, J. M. Marín
106;Pablo Galdo
107;Javier Martín Jaramillo
108;Javier Martín Jaramillo
109;Javier Martín Jaramillo
110;Javier Martín Jaramillo
111;Javier Martín Jaramillo
112;Javier Martín Jaramillo
113;Isacio, Pablo Galdo
114;Isacio, Francisco Contreras Parody
115;Fanny Archila, Isacio
116;Rogelio López, Javier Martín Jaramillo
117;Rogelio López
118;Javier Martín Jaramillo
